'yang'zhen'yan 杨振言
'yao'tiao 姚调
'ye'ben 夜奔
'ye'shen'chen 夜深沉
'yi'ding'yao'ba'huai'he'xiu'hao 一定要把淮河修好
'yi'lei'shu 一类书
'yi'li'mi 一粒米
'yi'ma'shuang'tuo 一马双驮
'yi'yao'chuan 义妖传
'yi'ze 义责
'yin'jiao'si 银绞丝
'ying'lie 英烈
'ying'tai'ku'ling 英台哭灵
'ying'ying'bai'yue 莺莺拜月
'ying'ying'cao'qin 莺莺操琴
'ying'ying'shao'ye'xiang 莺莺烧夜香
'you'hui'qiu 尤惠秋
'you'tiao 尤调
'you'xi'hu 游西湖
'yu'hong'xian 余红仙
'yu'kui'long 玉夔龙
'yu'lian'huan 玉连环
'yu'qing'ting 玉蜻蜓
'yu'tiao 俞调
'yuan'bao'fan 袁宝藩
'yuan'xiao'liang 袁小良
'yuan'xin 园心
'yue'chuan 岳传
'yue'mu'ci'zi 岳母刺字
'yue'yun 岳云
'yun'bai 韵白
'zai'sheng'yuan 再生缘
'zeng'ma 赠马
'zhan'fan'cheng 战樊城
'zhan'jing'tang 斩经堂
'zhang'bi'hua 张碧华
'zhang'guo'liang 张国良
'zhang'guo'xun 张国勋
'zhang'jian'guo 张鉴国
'zhang'jun'mou 张君谋
'zhang'ru'jun 张如君
'zhang'tiao 张调
'zhang'wen'xiang'ci'ma 张文祥刺马
'zhang'yi'liang 张翼良
'zhang'zhen'hua 张振华
'zhao'hui'lan 赵慧兰
'zhao'kai'sheng 赵开生
'zhao'li'fang 赵丽芳
'zhe'zi'shu 折子书
'zhen'qing'jia'yi 真情假意
'zhen'zhu'ta 珍珠塔
'zheng'xi 征西
'zheng'ying 郑缨
'zhi'zhan'an'de'hai 智斩安德海
'zhi'zhen 智贞
'zhi'zhen'miao'rong 智贞描容
'zhi'zhen'tan'er 智贞探儿
'zhong'pian'ping'tan 中篇评弹
'zhong'yue'qiao 钟月樵
'zhou'jian'ping 周剑萍
'zhou'jian'ying 周剑英
'zhou'lu'shi 周陆氏
'zhou'mei'ren'shang'tang'lou 周美人上堂楼
'zhou'qing 周青
'zhou'tiao 周调
'zhou'xi'ming 周希明
'zhou'ying'hong 周映红
'zhou'yun'rui 周云瑞
'zhu'hui'zhen 朱慧珍
'zhu'liang'xin 朱良欣
'zhu'qing'tao 朱庆涛
'zhu'xue'qin 朱雪琴
'zhu'yi'ming 朱一鸣
'zhu'yi'ting 祝逸亭
'zhu'zhi'shan'kan'deng 祝枝山看灯
'zhuan'chang 专场
'zhuang'feng'zhu 庄凤珠
'zhuang'tai'bao'xi 妆台报喜
'zhui'zhou 追舟
'zhuo'ying'ge 捉鹦哥
'zi'juan'ye'tan 紫鹃夜叹
