'xiang'su'ji'tui 香酥鸡腿
'xiang'su'xiao'huang'yu 香酥小黄鱼
'xiang'su'ya'tui 香酥鸭腿
'xiao'cong'ban'dou'fu 小葱拌豆腐
'xiao'ji'dun'mo'gu 小鸡炖蘑菇
'xiao'you'cai'ban'xian'mo'gu 小油菜拌鲜蘑菇
'xin'jiang'da'pan'ji 新疆大盘鸡
'xing'bao'gu'ban'ya'xiong 杏鲍菇拌鸭胸
'ya'cai'kou'rou 芽菜扣肉
'yan'rou'jun'gu'dun'dou'fu 腌肉菌菇炖豆腐
'yan'shui'hua'sheng'mi 盐水花生米
'yang'cong'mu'er 洋葱木耳
'yang'ji'gu'dun'bai'luo'bo 羊脊骨炖白萝卜
'yang'rou'qie'zi'kou'you'mian 羊肉茄子扣莜面
'yi'meng'hui'suan'cai 伊盟烩酸菜
'you'men'shu'xiang'nen'hua'ji 油焖薯香嫩滑鸡
'yu'tou'si 芋头丝
'zha'cai 榨菜
'zha'cai'si 榨菜丝
'zha'meng'hua'ban'dou'zui 扎蒙花拌豆嘴
'zha'meng'hua'shui'luo'bo'si 扎蒙花水萝卜丝
'zhan'ban'zhou'zi 粘板肘子
'zhao'shao'cui'pi'ji 照烧脆皮鸡
'zhao'shao'fei'niu 照烧肥牛
'zhu'du'dun'suan'cai 猪肚炖酸菜
'zhu'gu'dun'bai'luo'bo 猪骨炖白萝卜
'zhu'pi'dong'ban'huang'gua 猪皮冻拌黄瓜
'zhu'shou'men'huang'dou 猪手焖黄豆
'zi'bu'yang'xie'zi 滋补羊蝎子
