'di'qi'pin'tiao'yue 敌骑频跳跃
'di'ruo'bu'ai'jiu 地若不爱酒
'di'san'xiang'dao'yi'shi'zhu 第三想到衣食住
'di'si'xiang'dao'sui'you'gong 第四想到虽有功
'di'wei'xin'chou 敌伪心愁
'di'xia'dang'gou 涤瑕荡垢
'di'xiong'ai'yue'he'neng'mian 弟兄哀乐何能免
'di'yi'xiang'dao'bu'wang'ben 第一想到不忘本
'di'ying'wu'jiu'quan 地应无酒泉
'di'yu'an'xin'shang'yi'qing 低语安心尚忆卿
'dian'fu'qi'neng'rong 颠覆岂能容
'dian'ge'cuo'e'jie'di'jing 殿阁嵯峨接帝京
'dian'ran'jiang'shan'shi'geng'gao 点染江山势更高
'dian'ru'feng'sao 玷辱风骚
'diao'feng'huan'zhang 吊冯焕章
'diao'yuan'ming'yuan'gu'zhi'er'shou 吊圆明园故址二首
'diao'zhang'jin'chen'jiang'jun 吊张荩忱将军
'ding'zai'jin'zhao 定在今朝
'dong'de'zou'lei'ting 动地走雷霆
'dong'fang'jie'dong'fa'xin'ya 东方解冻发新芽
'dong'feng'chu'dao'hou 东风初到侯
'dong'jiang'ren'wu'gou'xiang'si 东江人物够相思
'dong'jin'chun'lai'xing'bei'rao 冬尽春来兴倍饶
'dong'liu'cheng'da'hai 东流成大海
'dong'po'xiong'ci'guang 东坡胸次广
'dong'qian'xiao'qi'kan'hong'xia 洞前小憩看红霞
'dong'quan'men'li'zui 东圈门里醉
'dong'ye'za'yong 冬夜杂咏
'dong'ying'yu'yu'yi'xiang'chuan 东瀛禹域谊相传
'dong'zhe'wu'jiang'ya 栋折吾将压
'dong'zhong'jian'ceng'lou 洞中建层楼
'du'bao'qi'you'an'she'ji 独抱杞忧安社稷
'du'biao'wen'cai 独标文采
'du'kou'jin'liang'ji 渡口津梁急
'du'li'tian'di'jian 独立天地间
'du'xie'lao'xing'ping'chou'zhong 读谢老行平畴中
'du'zi'bu'lin'a 独自步林阿
'duan'chang'feng'yu'shang'gao'lou 断肠风雨上高楼
'duan'di'shuang'qing'lou'shang'zuo 端的双清楼上作
'dui'mei'dui'e 对美对俄
'duo'fei'zhuan'jia'qin'cai'duo 多费专家勤采掇
'duo'shao'ying'cai'yi'shi'jian 多少英才一时见
'duo'yi'duo'cai'geng'chu'qun 多艺多材更出群
'e'hao'chu'cong'hai'shang'chuan 噩耗初从海上传
'e'pang'dang'ri'ku'jing'ying 阿房当日苦经营
'e'qi'luan'zhu'zi 恶其乱朱紫
'er'chi'guo'min'dang'yu'yong'wen'ren 二斥国民党御用文人
'er'jin'ge'shi'tu'zeng'tong 而今隔世徒增恸
'er'jin'shang'de'dong'you'ren 而今尚得动游人
'er'jin'tian'xia'shi 而今天下事
'er'jin'wei'yuan'zhang 而今委员长
'er'ya'tai'zhong'yi'gu'ren 尔雅台中忆故人
'er'you'zui 尔有罪
'fa'dang'zhu 法当诛
'fa'dian'si'wan'er 发电四万二
'fan'di'fan'zhi'you'tong'xin 反帝反殖有同心
'fan'di'shu'shi'ji 反帝数世纪
'fan'guo'wu'yi'shan 翻过武夷山
'fan'shi'qiu'wen'tuo 凡事求稳妥
'fan'zhou'nan'bei'liang'hu'tou 泛舟南北两湖头
'fang'cun'cen'lou'zen'bi'gao 方寸岑楼怎比高
'fang'rui'ying'chun'jian'wu'hua 芳蕊迎春见物华
'fang'xian'tai 访仙台
'fang'yan'ming'chao 放眼明朝
'fang'yuan'zhong'gui'ju 方圆中规矩
'fei'guo'liang'qian'yi 飞过两千一
'fei'guo'tai'shan 飞过泰山
'fei'ya'wang'lai'tong 非亚往来通
'fen'tang'bi 奋螳臂
'feng'chen'he'bei'yin'shu'duan 风尘河北音书断
'feng'fu'zhi'xiu'gan'shou'jie 冯妇知羞甘守节
'feng'huan'yun'bin'yi'jing'shuang 凤鬟云鬓易经霜
'feng'hui'jie'shi'xia'chao'sheng 风回碣石夏潮声
'feng'ji'tian'di'yu'bu'lai 风急天低雨不来
'feng'jing'bu'sheng'shou 风景不胜收
'feng'jing'yi'quan'fei 风景已全非
'feng'jing'zui'xin'xian 风景最新鲜
'feng'jun'hu'yi'nian'nian'you 逢君忽忆廿年游
'feng'jun'yi'hen'wan 逢君已恨晚
'feng'lai'hua'song'xiang 风来花送香
'feng'lei'qu'da'di 风雷驱大地
'feng'liu'qian'zai'yi'yan'ping 风流千载忆延平
'feng'shuang'chong'chong'e 风霜重重恶
'feng'shuang'qi'nai'he 风霜其奈何
'feng'suo'chong'chong'ge 封锁重重隔
'feng'ying'jiang'shan'zhong 峰影蒋山重
'feng'yu'wei'zhong'hun 风雨慰忠魂
'fu'bi'wei'ti'san'chi'jian 拊髀未提三尺剑
'fu'bi'zui'xing'nu'tao 复辟罪行怒讨
'fu'guo'fan'fa'di 复国反法帝
'fu'lao'sheng'si'xi 父老生死系
'fu'shu'gui'ti'xu'zhen'zhong 伏暑贵体须珍重
'fu'wu'ren'min'zui'jiao 服务人民最娇
'fu'xing'wo'zhong'hua 复兴我中华
'fu'yao'shi'zhang'yi 扶摇始张翼
'fu'yong'lan'liang'shou 赋咏兰两首
'fu'yu'cheng'lin'fa'geng'sheng 抚育成林伐更生
'fu'zhong'yan're'ren'he'ku 伏中炎热人何苦
'fu'zong'tong'yue 副总统曰
'gai'guan'fang'lun'ding 盖棺方论定
'gan'dan'chang'ru'xi 肝胆长如洗
'gan'ge'li'luan'zhong 干戈离乱中
'gan'kai'shao'hua'si'shui'liu 感慨韶华似水流
'gan'shi'shu'huai 感事书怀
'gan'wei'hua'fan'zi'shi'xin 干伟花繁子实馨
'gao'feng'ning'tie'gu 高风凝铁骨
'gao'gao'ju'qi 高高举起
'gao'ling'ting'gao'ge 高岭听高歌
'gao'wo'hao'qing'bai'chi'lou 高卧豪情百尺楼
'gao'zhu'shen'zhou'feng'yu'lou 高筑神州风雨楼
'ge'an'feng'sheng'kuang'dai'yu 隔岸风声狂带雨
'ge'mian'xi'xin 革面洗心
'ge'ming'bi'xu'you'wu'zhuang 革命必须有武装
'ge'ming'feng'chao'yong 革命风潮涌
'ge'ming'jing'shen'bu'ke'mie 革命精神不可灭
'ge'ming'kuang'biao 革命狂飙
'ge'ming'qi'hao'xiong 革命气豪雄
'ge'ming'sheng'chuan'hua'fang'zhong 革命声传画舫中
'ge'sheng'ying'xiong'qi'zi'gong 各省英雄岂自供
'ge'ying'shang 歌颍上
'geng'you'ren'xing'zao 更有人行早
'geng'yu'kang'ri'zhan'gong'qin 更于抗日展功勤
'geng'zuo'fu'qing'suo 耕作负青蓑
'gong'he'guo'gong'lou'shang'yue 共和国宫楼上月
'gong'ji'he'hui'huang 功绩何辉煌
'gong'ji'liang'huai'wen 功绩两淮闻
'gong'jun'yi'xi'hua 共君一夕话
'gong'shang'da'ji'chuang'tian'xia 共商大计闯天下
'gong'she'bian'gu'xiang 公社遍故乡
'gong'she'ru'xing'huo 公社如星火
'gong'shi'wu'ling'gui'pian'chang 工时毋令晷偏长
'gong'xia'yi 攻夏邑
'gou'tou'jun'shi'zhang 狗头军师张
'gu'bao'sha'chang'ku'geng'bai 骨暴沙场枯更白
'gu'dao'you'shu'qiu 孤岛有数丘
'gu'guo'yi'hui'shou 故国一回首
'gu'jiao'sheng'zhong'ban'shi'jin 鼓角声中半是筋
'gu'jin'shui'neng'ji 古今谁能继
'gu'jiu'you'lai'fang 故旧有来访
'gu'lai'yuan'yu'wu'shi'wu 古来冤狱无时无
'gu'mu'lin'zhong'cao'shu'bian 古木林中草树边
'gu'pi'dong'he'bei 鼓鼙动河北
'gu'ren'sheng'si'ge'qian'qiu 故人生死各千秋
'gu'shen'zou'xi'dong 孤身走西东
'gu'xiang 故乡
'gu'zu'gan'jin'jian'jia'xiang 鼓足干劲建家乡
'guan'gai'he'ru'you 灌溉禾如油
'guan'jing'bo'hu'pu'bu'yi'jue 观镜泊湖瀑布一绝
'guang'da'ren'min'xing'gao 广大人民兴高
'guang'da'shen'tong'nan'lai'zhai 广大神通难赖债
'guang'sha'hui'huang'qian'wan'jian 广厦辉煌千万间
'gui'ji'kuang 诡计狂
'gui'zhi'wu'lu 归至吾庐
'gui'zi'lan'sun'chuan'hou'shi 桂子兰孙传后世
'gun'gun'chang'jiang'jie'yuan'shi 滚滚长江嗟远逝
'guo'fang'ke'ji'ri'geng'xin 国防科技日更新
'guo'gong'ya'yun'liu'jia'ju 郭公雅韵留佳句
