'si'ceng'san'ming'zhi 四层三明治
'su'an'suan 苏氨酸
'suo'he'fan'ying 缩合反应
'suo'tai'mei 羧肽酶
'tai'jian'xing'cheng 肽键形成
'tai'xian'pu'an'xian'shun'fan'yi'gou'mei 肽酰脯氨酰顺反异构酶
'tan'xing'dan'bai 弹性蛋白
'tan'xing'dan'bai'mei 弹性蛋白酶
'tang'gan'jian'xing'cheng 糖苷键形成
'tang'hua'mei 糖化酶
'tang'ji'hua 糖基化
'tang'ji'lin'zhi'xian'ji'chun'mao'ding 糖基磷脂酰肌醇锚定
'tang'ji'zhuan'yi'mei 糖基转移酶
'tang'jiao'jie 糖酵解
'tang'yi'sheng 糖异生
'tang'yuan 糖原
'tang'yuan'fen'jie 糖原分解
'tang'yuan'he'cheng 糖原合成
'tang'zhi 糖脂
'tang'zu 糖组
'tang'zu'xue 糖组学
'ti'zi 梯子
'tian'dong'an'suan'zhuan'an'mei 天冬氨酸转氨酶
'tiao'jie'ya'ji 调节亚基
'tiao'kong 调控
'tie'lei 萜类
'tie'si'wang 铁死亡
'tong'gong'mei 同工酶
'tong'si'wang 铜死亡
'tong'ti'sheng'cheng 酮体生成
'tong'wu'er'suan'tuo'qing'mei 酮戊二酸脱氢酶
'tong'xian'huan'yuan'mei 酮酰还原酶
'tong'xing'ban'guang'an'suan 同型半胱氨酸
'tong'yuan'jie'gou'yu 同源结构域
'tong'yuan'ran'se'ti 同源染色体
'tu'qi 凸起
'tui'jin'qi 推进器
'tuo'pu'yi'gou'mei 拓扑异构酶
'tuo'shui'fan'ying 脱水反应
'wai'xian'zi 外显子
'wai'xiao'xuan'hua 外消旋化
'wei'dan'bai'mei 胃蛋白酶
'wei'guan'dan'bai 微管蛋白
'wei'liu'kong'xin'pian 微流控芯片
'wei'zhen'lie 微阵列
'wu'gui'juan'qu 无规卷曲
'wu'yi'tu'bian 无义突变
'xi'bao'chuan'gan'qi 细胞传感器
'xi'bao'diao'wang 细胞凋亡
'xi'bao'gong'cheng 细胞工程
'xi'bao'gu'jia'jie'he'yu 细胞骨架结合域
'xi'bao'mo 细胞膜
'xi'bao'se'su 细胞色素
'xi'bao'xin'pian 细胞芯片
'xi'bao'zhou'qi 细胞周期
'xi'chun'hua'mei 烯醇化酶
'xi'chun'shi'bing'tong'suan'suo'ji'mei 烯醇式丙酮酸羧激酶
'xi'la'yao'shi'tuo'pu 希腊钥匙拓扑
'xi'tong'sheng'wu'xue 系统生物学
'xi'xian'shui'he'mei 烯酰水合酶
'xia'qing'su 虾青素
'xian'an'hua'fan'ying 酰胺化反应
'xian'gan'jia'liu'an'suan 腺苷甲硫氨酸
