'an'gou 暗沟
'hun'ning'tu'lu'mian 混凝土路面
'hun'ning'tu'lu'mian'ban'gou'zao 混凝土路面板构造
'hun'ning'tu'mian'ceng 混凝土面层
'hun'ning'tu'mian'ceng'shi'gong'fang'shi 混凝土面层施工方式
'hun'ning'tu'wai'jia'ji 混凝土外加剂
'hun'ning'tu'wai'jia'ji'ying'yong'ji'shu'gui'fan 混凝土外加剂应用技术规范
'huo'dong'gui'lv 活动规律
'ji'ceng 基层
'ji'ceng'cai'liao'xuan'yong'yuan'ze 基层材料选用原则
'ji'ceng'di'mian'kuan'du 基层底面宽度
'ji'ceng'fen'lei 基层分类
'ji'ceng'hou'du 基层厚度
'ji'ceng'jie'gou'xing'shi 基层结构形式
'ji'ceng'kuan'du 基层宽度
'ji'ceng'shi'gong 基层施工
'ji'ceng'xing'neng'zhu'yao'zhi'biao 基层性能主要指标
'ji'ceng'yu'lu'mian'pai'shui 基层与路面排水
'ji'ceng'zuo'yong 基层作用
'ji'chu'chen'jiang'ti'qian'wan'cheng 基础沉降提前完成
'ji'dong'che'dao 机动车道
'ji'jie'xing'bing'dong'di'qu 季节性冰冻地区
'ji'jie'xing'dong'tu'di'qu 季节性冻土地区
'ji'jie'ying'xiang 季节影响
'ji'liao'zui'da'li'jing 集料最大粒径
'ji'ni 唧泥
'ji'pei'gui'ding 级配规定
'ji'pei'li'liao 级配粒料
'ji'pei'li'shi 级配砾石
'ji'pei'sui'shi 级配碎石
'ji'pei'xing'cai'liao 级配型材料
'ji'shu'an'quan'biao'zhun 技术安全标准
'ji'shu'zhi'biao 技术指标
'ji'xie'nian'ya 机械碾压
'ji'xie'shou'duan 机械手段
'ji'zhi'sha 机制砂
'jia'gu'cuo'shi 加固措施
'jia'gu'ti 加固体
'jia'sui'shi'luan'shi'sha 夹碎石卵石砂
'jian'ce'ji'shu'yu'jian'ce'bao'gao 监测技术与监测报告
'jian'cha'jing 检查井
'jian'cha'jing'jie'he'bu 检查井接合部
'jian'qie'te'xing'gai'shan 剪切特性改善
'jian'shi 坚石
'jian'shi'mi'shi'nian'xing'tu 坚实密实黏性土
'jian'shi'xi'shu 坚实系数
'jian'shi'xi'shu'fen'lei'fang'fa 坚实系数分类方法
'jian'tu 坚土
'jian'xiao'chen'jiang'liang 减小沉降量
'jian'yan'bao'gao 检验报告
'jian'ying'zhuang'tai 坚硬状态
'jian'zheng'qu'yang 见证取样
'jian'zhu'la'ji'zi'yuan'hua'li'yong 建筑垃圾资源化利用
'jiang'shui'qin'shi 降水侵蚀
'jiang'shui'yu'ya 降水预压
'jiang'zao'pai'shui'lu'mian 降噪排水路面
'jiao'leng'di'qu 较冷地区
'jiao'tong'gong'neng 交通功能
'jiao'tong'liang'da 交通量大
'jie'feng'he'zai'chuan'di'neng'li 接缝荷载传递能力
'jie'gou'qiang'du 结构强度
'jie'gou'te'dian 结构特点
'jie'gou'zu'cheng 结构组成
'jie'he'liao 结合料
'jie'jing 洁净
'jie'jing'cu'sha 洁净粗砂
'jie'shui'gou'she'zhi 截水沟设置
