'hu'jiang'yuan'jian'hou 壶浆远见候
'hu'shi'nai'chou'chu 胡事乃踌躇
'hu'ting'wu'chen'za 户庭无尘杂
'hu'wei'bu'zi'jie 胡为不自竭
'hu'yi'qin'ci'shi 忽已亲此事
'hu'yu'yi'shang'jiu 忽与一觞酒
'hu'zhi'shan'he'gai 忽值山河改
'hua'qu'bu'fu'hui 化去不复悔
'hua'xuan'ying'dao'lu 华轩盈道路
'hua'yao'fen'lie 花药分列
'huai'ci'po'you'nian 怀此颇有年
'huai'ci'zhen'xiu'zi 怀此贞秀姿
'huai'gu'tian'she'er'shou 怀古田舍二首
'huai'gu'yi'he'shen 怀古一何深
'huai'ren'zai'jiu'ming 怀人在九冥
'huai'yi'bu'huang'mei 怀役不遑寐
'huan'dai'jin'huan'yu 缓带尽欢娱
'huan'huan'chang'sha 桓桓长沙
'huan'lai'ku'xi'duan 欢来苦夕短
'huan'ran'zhuo'chun'jiu 欢然酌春酒
'huan'xin'kong'qia 欢心孔洽
'huang'cao'he'mang'mang 荒草何茫茫
'huang'cao'mei'qian'ting 荒草没前庭
'huang'cao'wu'ren'mian 荒草无人眠
'huang'hua'fu'zhu'shi 黄花复朱实
'huang'lu'ai'jiao'tong 荒路暧交通
'huang'niao'sheng'zheng'bei 黄鸟声正悲
'huang'qi'zhi'shang'shan 黄绮之商山
'huang'tang'mo'dai 黄唐莫逮
'huang'tu'wu'gui'ren 荒涂无归人
'huang'xu'shen'hou'lv 遑恤身后虑
'hui'bei'quan'gu'ying 挥杯劝孤影
'hui'biao'kai'wo'jin 回飙开我襟
'hui'fu'sui'wu'qiong 回复遂无穷
'hui'gu'can'feng'liang 回顾惨风凉
'hui'he'qian'li 惠和千里
'hui'mu'fan'rong 卉木繁荣
'hui'shang'dao'ping'su 挥觞道平素
'hui'sun'yi'wu'tan 惠孙一晤叹
'hui'zi'yi'shang 挥兹一觞
'hun'hun'chang'yuan 浑浑长源
'hun'qi'san'he'zhi 魂气散何之
'huo'fu'wu'men 祸福无门
'huo'yi'yi'lai 祸亦易来
'huo'you'shu'jiu 或有数酒
'ji'chen'wei'zi'you 及辰为兹游
'ji'chen'yuan'wu'qian 及晨愿乌迁
'ji'fu'bu'fu'shi 肌肤不复实
'ji'geng'yi'yi'zhong 既耕亦已种
'ji'han'bao'suo'geng 饥寒饱所更
'ji'han'jiao'zhi 饥寒交至
'ji'han'kuang'dang'nian 饥寒况当年
'ji'ji'feng'yun 寄迹风云
'ji'ji'lu'zhong'sou 汲汲鲁中叟
'ji'ji'wu'xing'ji 寂寂无行迹
'ji'jian'qi'sheng 既见其生
'ji'lai'qu'wo'qu 饥来驱我去
'ji'lai'shu'bu'qu 既来孰不去
'ji'li'kui'tong'shi 即理愧通识
'ji'mei'chuan'wu'qiong 既没传无穷
'ji'ming'sang'shu'dian 鸡鸣桑树巅
'ji'niao'lian'jiu'lin 羁鸟恋旧林
'ji'quan'hu'ming'fei 鸡犬互鸣吠
'ji'que'xie'li 冀缺携俪
'ji'ren'de'qi'qu 几人得其趣
'ji'ri'qi'qi'guan 即日弃其官
'ji'ri'wang'jiu'ju 计日望旧居
'ji'shan'yun'you'bao 积善云有报
'ji'sheng'chi'shui'yin 寄生赤水阴
'ji'sheng'yu'wo'xie 寄声与我谐
'ji'shi'dang'mian'li 及时当勉励
'ji'shi'duo'suo'xin 既事多所欣
'ji'shi'ru'yi'gao 即事如已高
'ji'shi'shou'yang'wei 饥食首阳薇
'ji'shi'zheng'mang'mang 极视正茫茫
'ji'xia'duo'tan'shi 稷下多谈士
'ji'xie'shou'qiong'hu 戢枻守穷湖
'ji'yan'han'zhong'ke 寄言酣中客
'ji'yi'bu'yu'zi 既已不遇兹
'ji'yi'chu'wu'kui 计议初无亏
'ji'yi'yi'yan'wai 寄意一言外
'ji'you'sui'jiu'yue'jiu'ri 己酉岁九月九日
'ji'yu'han'tiao 戢羽寒条
'ji'zhe'huan'chu'bao 饥者欢初饱
'ji'zui'hai'xiu 既醉还休
'jia'pin'wu'you'de 家贫无由得
'jia'ren'mei'qing'ye 佳人美清夜
'jia'sui'yang'nan'chou 嘉穟养南畴
'jia'wei'ni'lv'she 家为逆旅舍
'jia'you'wei'yi 嘉游未斁
'jian'bie'xiao'ai'zhong 见别萧艾中
'jian'li'ji'bei'zhu 渐离击悲筑
'jian'lin'qing'yi 见林情依
'jian'mian'yu'hai 渐免于孩
'jian'song'qing'huang'chao 饯送倾皇朝
'jian'su'bu'huo'zhan 检素不获展
'jian'zhong'wo'xuan'huang 见重我轩黄
'jiang'fei'cu'ling'ju 将非促龄具
'jiang'gong'nai'jian'cai 姜公乃见猜
'jiang'hu'duo'jian'pin 江湖多贱贫
'jiang'shan'qi'bu'xian 江山岂不险
'jiang'yang'bu'de'jie 将养不得节
'jiang'yi'tian'cang'hai 将以填沧海
'jiang'zhi'fu'sang'si 将止扶桑涘
'jiao'er'suo'fu'ti 娇儿索父啼
'jiao'jiao'yun'jian'yue 皎皎云间月
'jie'chu'kuang'you'ji 阶除旷游迹
'jie'fa'nian'shan'shi 结发念善事
'jie'gen'yu'zi 结根于兹
'jie'lai'he'zu'lin 嗟来何足吝
'jie'lu'zai'ren'jing 结庐在人境
'jie'tuo'shan'e'tong 结托善恶同
'jie'wen'cai'xin'zhe 借问采薪者
'jie'wen'shuai'zhou'lai 借问衰周来
'jie'wen'wei'shui'bei 借问为谁悲
'jie'wen'you'fang'shi 借问游方士
'jie'yan'an'qi'ye 介焉安其业
'jie'yan'quan'nong'ren 解颜劝农人
