'ban'bai'zhe'bu'fu'dai'yu'dao'lu'yi 颁白者不负戴於道路矣
'ban'ben'yuan'huan 半本原环
'ban'bi'jian'hai'ri 半壁见海日
'ban'bi'qie'you'xi 半壁且游嬉
'ban'bian'mei 半边眉
'ban'bo'chang'xian 半波长线
'ban'bo'dai'fa 半波带法
'ban'bo'ou'ji'zi 半波偶极子
'ban'bo'pian 半波片
'ban'bo'sun 半波损
'ban'bo'sun'shi 半波损失
'ban'bo'tian'xian 半波天线
'ban'ce'chuan'tou'shui'hua'mei 半侧船头水花没
'ban'chun'jia'zai'xue'zhong'shan 半春家在雪中山
'ban'dang'shi'cheng'chen 板荡识诚臣
'ban'dian'bu'you'ren 半点不由人
'ban'du'yin'jing 半镀银镜
'ban'gao'bo'jian'bie'pu'ying'hui 半篙波渐别浦萦回
'ban'gou'dao'xiao'ying 半沟道效应
'ban'hu'qiu'shui'jian'huang'hua 半壶秋水荐黄花
'ban'jiang'se'se'ban'jiang'hong 半江瑟瑟半江红
'ban'jin'shu 半金属
'ban'jing'dian'fang'fa 半经典方法
'ban'jing'dian'lun 半经典论
'ban'jing'zhuang 半精装
'ban'juan'hong'qi'lin'yi'shui 半卷红旗临易水
'ban'jue'yuan'ti 半绝缘体
'ban'jun'you'du 伴君幽独
'ban'kong'luo'xu'shi'wei'yang 半空落絮湿未扬
'ban'kong'yan'yu 半空烟雨
'ban'lian'xu'de 半连续的
'ban'ling'luo'yi'yi 半零落依依
'ban'liu'xiang'song'ban'ying'gui 半留相送半迎归
'ban'lou'yue'ying'qian'jia'di 半楼月影千家笛
'ban'lu'li'qi'shang'xia 斑陆离其上下
'ban'luo'mei'hua'wan'mian'xiang 半落梅花婉娩香
'ban'luo'qing'tian'wai 半落青天外
'ban'mian'zhi'jiao 半面之交
'ban'pi'hong'xiao'yi'zhang'ling 半匹红绡一丈绫
'ban'qiao'xiao'bie 板桥晓别
'ban'qing'zi'shuai'bian 半轻子衰变
'ban'qiu'ti 半球体
'ban'quan 阪泉
'ban'qun 半群
'ban'ren'yi'sha 伴人一霎
'ban'ru'jiang'feng'ban'ru'yun 半入江风半入云
'ban'sa'yun'tian'li 半洒云天里
'ban'she'shao'bian 般涉哨遍
'ban'sheng'sui'yue'kan'liu'shui 半生岁月看流水
'ban'sheng'yi'fen'gu'mian'guo 半生已分孤眠过
'ban'shuai'qi 半衰期
'ban'si'tong 半死桐
'ban'tou'ban'fan'jing 半透半反镜
'ban'tou'mi 半透迷
'ban'tou'mian 半透缅
'ban'tou'ming'mu 半透明幕
'ban'tou'she'fan'she'jing 半透射反射镜
'ban'wo'wei'yin 伴我微吟
'ban'xian 般县
'ban'xian'xing'tong'gou 半线性同构
'ban'xing'ban'zui'ri'fu'ri 半醒半醉日复日
'ban'yan'zhu'lian'hua'lou'li 半掩珠帘画楼里
'ban'yang 般阳
'ban'ye'chao'yuan 半夜朝元
'ban'ye'jun'xing'ge'xiang'bo 半夜军行戈相拨
'ban'ye'liang'chu'tou 半夜凉初透
'ban'ye'lv'hun'sui'tiao'qie 半夜旅魂随调切
'ban'ye'peng'chu'fu'sang'lun 半夜捧出扶桑轮
'ban'ye'qiao'men'xin'bu'jing 半夜敲门心不惊
'ban'yin'ban'qing'yun'mu 半阴半晴云暮
'ban'yuan'xiu'dao'ban'yuan'jun 半缘修道半缘君
'ban'yun'lai 伴云来
'ban'zai'yun'gen'ban'tian'shang 半在云根半天上
'ban'zhe'luo 般遮罗
'ban'zheng'gui'suan'zi 半正规算子
'ban'zhi'ji 半直积
'ban'zhi'xian 半直线
'ban'zhou'san'mei 般舟三昧
'ban'zhu'ji 斑竹记
'ban'zhu'lin'jiang'yuan'you'se 斑竹临江怨幽色
'ban'zhu'yi'zhi'qian'di'lei 斑竹一支千滴泪
'ban'zhu'yi'zhi'qian'di'lei 斑竹一枝千滴泪
'ban'zhu'zhi 斑竹枝
'ban'zhui'yi'xi'wu'xun'chu 斑骓一系无寻处
'ban'zhui'zhi'xi'chui'yang'an 斑骓只系垂杨岸
'bang'cai'zi'dian'qing 邦才字殿卿
'bang'fen'beng'li'xi 邦分崩离析
'bang'fen'beng'li'xi'er'bu'neng'shou'ye 邦分崩离析而不能守也
'bang'hai'tang'pian'ai 傍海棠偏爱
'bang'hua'sui'liu'guo'qian'chuan 傍花随柳过前川
'bang'ji'suo'an 邦畿所安
'bang'jing'zi'ru'qing 邦靖字汝庆
'bang'jun'shu'sai'men 邦君树塞门
'bang'jun'wei'liang'jun'zhi'hao 邦君为两君之好
'bang'jun'zhi'qi 邦君之妻
'bang'ku'lin'gu'dao 傍枯林古道
'bang'lin'wen'zhe'duo'tan'xi 傍邻闻者多叹息
'bang'liu'xi'ma 傍柳系马
'bang'ren'cheng'zhi'yue 邦人称之曰
'bang'ren'cheng'zhi'yue'jun'fu'ren 邦人称之曰君夫人
'bang'shui'ren'jia'qi'lou'ge 傍水人家起楼阁
'bang'wu'dao 邦无道
'bang'wu'dao'ru'shi 邦无道如矢
'bang'wu'dao'ze'ke'juan'er'huai'zhi 邦无道则可卷而怀之
'bang'wu'dao'ze'yu 邦无道则愚
'bang'xing'lou'tiao'qin'cao 傍杏楼调琴草
'bang'yi'min'wei'ben 邦以民为本
'bang'yi'zi'ru'jue 邦伊字孺觉
'bang'you'dao 邦有道
'bang'you'dao'ru'shi 邦有道如矢
'bang'you'dao'ze'shi 邦有道则仕
'bang'you'dao'ze'zhi 邦有道则知
'bao'bu'mao'si 抱布贸丝
'bao'can'jun'ji 鲍参军集
'bao'chai'fen 宝钗分
'bao'chai'lou'shang 宝钗楼上
'bao'chai'lou'wai'qiu'shen 宝钗楼外秋深
'bao'chai'shi'jiu 宝钗贳酒
'bao'chai'zhu'xiu'zun'qian'shang 宝钗珠袖尊前赏
'bao'chan'shan'yi'wei'zhi'hua'shan 褒禅山亦谓之华山
'bao'chao'guang'hui'ku 宝钞广惠库
'bao'chao'guang'hui'ku'da'shi 宝钞广惠库大使
'bao'chao'guang'hui'ku'fu'shi 宝钞广惠库副使
'bao'chao'sheng'ying'ya'ling'hei 宝钞生硬鸦翎黑
'bao'chao'ti'ju'si 宝钞提举司
'bao'chao'ti'ju'si'dian'shi 宝钞提举司典史
'bao'chao'ti'ju'si'fu'ti'ju 宝钞提举司副提举
'bao'chao'ti'ju'si'ti'ju 宝钞提举司提举
'bao'chu 葆初
'bao'ci'dao'zhe 保此道者
'bao'da'ping'sheng'wei'zhan'mei 报答平生未展眉
'bao'dai'jin'zhang 宝带金章
'bao'dao'di'jun'xiao'dun 报道敌军宵遁
'bao'de'pi'pa'ma'shang'dan 抱得琵琶马上弹
'bao'de'san'chun'hui 报得三春晖
'bao'de'san'chun'hui 报得三春辉
'bao'de'yang'he 抱德炀和
'bao'ding'bai'nian'gui'han'shi 宝鼎百年归汉室
'bao'ding'ji 宝鼎记
'bao'ding'tu'zhong'ou'cheng 保定途中偶成
'bao'ding'xian 宝鼎现
'bao'fa'chu'shi 抱法处势
'bao'ge'ling'xiao'jian 宝阁凌霄建
'bao'gou'he'ta'dian'qi'hou 宝构合沓殿其后
'bao'gu 保辜
'bao'guan'ji'tuo 抱关击柝
'bao'guan'ji'tuo'zhe 抱关击柝者
'bao'guang 葆光
'bao'guang'zi 葆光子
'bao'gui 宝龟
'bao'guo'liu'ji 苞裹六极
'bao'guo'wu'cheng'kong'bai'shou 报国无成空白首
'bao'guo'yu'gu'jian 报国余孤剑
